id,telecom
8a3247d3-a54c-43f2-2c5d-a8f5e28ff588,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-136-4712' value__ext=None
b0f40536-9dc8-2ea0-0bbf-467a69f5e3ad,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-884-9015' value__ext=None
09e292d4-f186-331c-ed95-c503acabc54e,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-425-8155' value__ext=None
10bf6da8-ffa1-6913-a119-726634be754c,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-294-9369' value__ext=None
0d55a582-07fe-a897-776c-3ab5e48cd457,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-571-7714' value__ext=None
d3406315-0e5e-e5e3-da71-b3c9802bd004,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-825-8595' value__ext=None
720d476c-6392-bc86-3640-bf2ee18d071a,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-765-6859' value__ext=None
9ebde11e-7248-e63c-25f9-4b793c3a5065,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-264-2183' value__ext=None
83524678-9bff-93b7-ef89-d7f5390072ff,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-106-9705' value__ext=None
9c02362b-0a48-be5e-7296-e332e383ebd2,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-193-6068' value__ext=None
c7eef66d-c5b9-f4da-bf58-550a8077ded6,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-731-2982' value__ext=None
89ba9a77-7aed-6cb8-6795-fb21f0ec237c,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-202-8080' value__ext=None
b8c71fe0-e911-205e-19c3-b92e88e5b5a6,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-640-7436' value__ext=None
126a7e7a-958b-428b-907d-f2aa4fd7236b,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-463-7100' value__ext=None
c8c2969a-32d7-9694-ce15-378ae4d66413,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-626-7922' value__ext=None
1029f880-d3db-f477-9da3-f59c14ed22c6,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-748-5270' value__ext=None
46b22d89-fe1a-3cf7-7ecb-b16c7390103f,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-808-2477' value__ext=None
2a0033b8-bd24-be26-eb24-8d6d9616b74f,resource_type='ContactPoint' fhir_comments=None extension=None id=None period=None rank=None rank__ext=None system='phone' system__ext=None use='home' use__ext=None value='555-776-7787' value__ext=None
